#Longitude Latitude Depth_(km) mrr mtt mff mrt mrf mtf Exponent_(dyn-cm) X_position(GMT) Y_position(GMT) ID rupture_type
124.05 -0.64 13.9 -0.326048 -1.04885 1.3749 -3.12348 0.901077 -1.93196 23.0 X Y 194 N-SS
123.108 -5.17 15.0 1.14676 1.2707 -2.41746 -1.68628 1.15442 0.382718 24.0 X Y 195 R-SS
126.79 -4.71 15.0 -0.0212261 -1.72403 1.74525 0.271169 -0.158451 -0.23307 25.0 X Y 196 SS
126.865 -4.672 16.0 4.85753 -5.14427 0.286734 3.1559 -1.18218 -0.851813 24.0 X Y 197 R
126.21 -2.87 10.0 1.52178 -0.441339 -1.08044 -0.0278841 0.398854 0.716281 24.0 X Y 198 R
126.21 -2.86 21.0 3.41037 -0.273238 -3.13713 -1.4797 -0.0099098 1.69879 23.0 X Y 199 R
121.637 -4.045 15.0 -7.20645 4.65938 2.54706 -0.537992 -1.82707 -3.89764 23.0 X Y 200 N
119.287 -3.738 31.8 4.76125 -0.0612799 -4.69997 -1.13413 0.438555 -1.35789 23.0 X Y 201 R
126.18 -3.7 25.1 0.0948986 -2.79031 2.69541 0.561846 0.54459 4.84567 23.0 X Y 202 SS
123.54 -3.56 0.6 -1.39178 1.42604 -0.0342612 0.654564 0.299599 0.0880453 24.0 X Y 203 N
123.308 -3.615 15.0 -4.60863 4.72208 -0.11345 2.16747 0.992064 0.291545 23.0 X Y 204 N
119.43 -1.35 33.0 3.86978 -0.704486 -3.16529 -1.86624 -4.61742 -1.50398 24.0 X Y 205 R
119.546 -1.444 16.1 4.54659 -0.827699 -3.71889 -2.19264 -5.425 -1.76702 23.0 X Y 206 R
125.82 -0.9 32.4 3.75503 -4.77298 1.01795 2.76999 -1.98072 -1.03334 23.0 X Y 207 R-SS
122.49 -7.55 20.9 0.0811219 -5.48853 5.4074 -0.27199 -0.785421 -1.11653 23.0 X Y 208 SS
123.46 2.54 33.0 3.4706 -3.31597 -0.154629 -0.203818 0.480164 -0.885914 25.0 X Y 209 R
122.721 -5.882 15.0 1.35674 -0.697538 -0.659197 0.349679 -0.338213 -0.852437 24.0 X Y 210 R
118.03 -3.536 40.0 4.4604 -3.45655 -1.00384 -1.60455 1.95481 -3.44274 24.0 X Y 211 R-SS
