date,time,lat,lon,depth,mw,str1,dip1,rake1,str2,dip2,rake2,mo,fac,mpp,mpr,mrr,mrt,mtp,mtt
1995/11/08,16:01:26.800,1.32,121.72,17.8,5.9,185,37,-93,9,53,-87,1.04e+25,25,,,,,,
1996/01/01,08:05:13.850,0.741,119.963,33.5,7.87,252,85,94,36,6,54,7.78,20,"-0.35","-2.36","1.34","-7.27","-0.86",-0.98
1996/01/01,08:05:19.300,0.3,120.2,21,5.5,36,6,54,252,85,94,,,,,,,,
1996/01/01,08:05:23.100,0.74,119.93,15,7.9,36,6,54,252,85,94,7.78e+24,27,,,,,,
1996/01/01,22:41:58.500,1,119.3,33,4.7,165,72,161,261,72,19,,,,,,,,
1996/01/01,22:42:00.790,0.722,119.965,35,5.43,165,72,161,261,72,19,1.75,17,"0.6","-0.76","0.04","-0.49","1.4",-0.65
1996/01/03,11:23:43.700,0.66,119.88,26.7,5.5,53,57,-8,147,83,-147,1.95e+24,24,,,,,,
1996/01/04,15:54:20.900,0.08,125,40.1,5,202,28,78,35,62,96,4.65e+23,23,,,,,,
1996/01/08,16:55:09.840,0.937,120.169,36.7,5.28,148,20,124,292,74,79,10.48,16,"-2.97","2.37","6.08","-8.38","2.7",-3.11
1996/01/11,19:45:02.250,0.489,119.621,30.7,5.61,235,86,34,142,57,175,3.17,17,"2.42","-1.29","0.15","-1.23","0.78",-2.58
1996/02/06,17:58:57.910,0.945,120.162,21.6,5.7,257,77,95,55,14,69,4.41,17,"0","-0.85","1.78","-3.86","-0.87",-1.77
1996/02/07,07:57:19.940,1.05,120.158,14.9,6.02,257,76,94,61,14,75,1.32,18,"0.07","-0.25","0.53","-1.13","-0.27",-0.61
1996/03/07,09:32:49.490,-2.006,124.734,35.2,5.44,297,62,3,205,87,152,1.82,17,"-1.21","-0.68","-0.06","-0.56","1.02",1.27
1996/03/31,10:35:11.730,-3.913,127.039,36.2,5.25,279,33,101,87,58,83,9.49,16,"1.66","0.59","7.67","4.14","0.48",-9.33
1996/04/03,17:26:39.700,1.072,120.373,29.9,5.44,58,22,66,264,70,100,1.8,17,"0.32","-0.13","0.96","-1.34","-0.49",-1.28
