date,time,lat,lon,depth,mw,str1,dip1,rake1,str2,dip2,rake2,mo,fac,mpp,mpr,mrr,mrt,mtp,mtt,cluster
16-06-09,52:40.5,-4.073,126.415,18.4,5.13,344,80,176,75,86,10,6.24,16.0,3.62,0.94,-0.94,0.92,5.25,-2.69,-1
18-09-11,09:19.7,-2.111,125.155,15.0,5.13,334,37,104,136,54,79,6.11,16.0,-3.84,-0.98,5.5,1.73,3.1,-1.65,-1
12-09-05,51:03.8,-7.714,125.568,15.0,5.14,75,47,134,200,58,53,6.4,16.0,-1.92,-2.21,4.43,0.4,-4.76,-2.51,-1
31-10-09,14:09.1,1.18,120.975,38.1,5.16,87,24,96,260,66,87,7.01,16.0,0.24,-0.89,5.06,-4.6,-0.65,-5.3,-1
26-08-00,55:25.7,-5.809,123.344,15.0,5.17,261,18,89,82,72,90,7.14,16.0,-0.79,0.82,4.51,5.75,-0.47,-3.72,-1
28-01-03,05:02.1,-0.733,122.018,20.1,5.17,327,40,-98,158,50,-83,7.2,16.0,5.61,1.39,-6.89,0,-3.12,1.27,-1
29-01-05,50:49.9,-2.006,126.596,15.0,5.18,90,51,-48,214,55,-130,7.49,16.0,0.58,4.08,-5.56,-1.82,3.19,4.97,-1
28-08-07,51:39.1,-1.444,119.546,16.1,5.18,28,19,95,202,71,88,7.54,16.0,-3.83,-5.48,4.7,-2.18,-1.8,-0.88,-1
07-05-00,33:28.8,-2.668,121.879,38.0,5.19,213,70,-158,115,70,-22,7.64,16.0,-4.86,3.4,-1.62,-0.87,3.48,6.47,-1
08-06-03,15:36.0,-7.616,125.632,30.3,5.19,99,46,108,255,47,73,0.77,17.0,0.05,-0.16,0.73,-0.01,-0.05,-0.78,-1
04-11-06,04:52.5,-4.045,121.637,15.0,5.19,114,44,-110,320,49,-72,7.72,16.0,2.33,-1.63,-7.09,-0.51,-4.21,4.76,-1
12-05-79,09:31.3,-2.12,121.26,36.4,5.2,2,46,56,226,53,120,8.28e+23,23.0,,,,,,,-1
02-08-82,49:10.4,-7.99,124.23,34.8,5.2,134,38,-140,11,67,-58,8.18e+23,23.0,,,,,,,-1
06-12-87,48:25.5,3.63,124.88,34.4,5.2,359,29,76,196,62,98,9.42e+23,23.0,,,,,,,-1
09-05-90,46:42.8,-2.84,119.57,15.0,5.2,264,55,-15,3,78,-144,8.21e+23,23.0,,,,,,,-1
26-06-90,36:28.9,1.94,123.01,15.0,5.2,72,29,49,297,68,110,9.1e+23,23.0,,,,,,,-1
28-01-93,51:48.7,-3.22,126.65,15.0,5.2,72,61,-3,164,87,-151,9.05e+23,23.0,,,,,,,-1
23-10-93,22:33.4,2.11,122.43,47.9,5.2,98,35,102,264,56,82,9.32e+23,23.0,,,,,,,-1
01-05-95,29:37.5,-1.6,121.1,50.0,5.2,142,74,16,47,74,163,,,,,,,,,-1
01-05-95,29:44.1,-0.25,121.0,43.2,5.2,142,74,16,47,74,163,7.02e+23,23.0,,,,,,,-1
12-06-95,16:48.5,-1.89,121.93,49.0,5.2,24,81,178,114,88,9,8.9e+23,23.0,,,,,,,-1
04-04-96,10:29.5,3.3,126.1,33.0,5.2,354,24,43,224,74,108,,,,,,,,,-1
10-09-96,20:59.2,1.75,120.58,33.0,5.2,95,21,82,284,70,93,7.19e+23,23.0,,,,,,,-1
14-08-97,47:38.4,-0.9,121.7,36.0,5.2,322,86,2,231,88,176,,,,,,,,,-1
22-10-98,13:25.8,-7.5,125.2,40.0,5.2,34,28,77,229,62,97,,,,,,,,,-1
21-02-00,51:24.0,4.64,124.71,28.0,5.2,203,58,-168,107,80,-33,6.84e+23,23.0,,,,,,,-1
08-09-01,30:15.4,1.39,125.34,15.0,5.2,313,11,-177,220,89,-79,8.42e+23,23.0,,,,,,,-1
15-11-03,58:47.0,-7.86,121.94,15.0,5.2,299,10,74,135,80,93,7.52e+23,23.0,,,,,,,-1
13-11-04,34:14.1,-7.97,125.06,13.0,5.2,61,28,75,258,63,98,7.71e+23,23.0,,,,,,,-1
21-12-05,09:04.5,-0.8,124.6,33.0,5.2,259,31,140,24,71,65,,,,,,,,,-1
04-02-06,01:41.0,1.67,125.56,10.0,5.2,54,34,135,183,66,64,,,,,,,,,-1
04-04-09,29:46.0,-2.91,126.64,15.0,5.2,325,79,180,55,90,11,,,,,,,,,-1
12-04-09,19:57.5,2.14,122.14,29.6,5.2,250,29,37,126,73,114,9.27e+23,24.0,,,,,,,-1
02-07-09,29:41.0,4.65,124.4,27.3,5.2,149,84,5,58,85,174,7.15e+23,23.0,,,,,,,-1
21-01-10,00:48.0,1.66,122.21,15.0,5.2,96,22,97,269,69,87,,,,,,,,,-1
01-07-11,38:46.0,-0.97,121.77,10.0,5.2,110,48,-148,357,67,-47,,,,,,,,,-1
27-04-12,29:39.5,-2.63,121.87,16.4,5.2,129,54,8,34,83,144,7.87e+23,23.0,,,,,,,-1
20-07-12,14:53.1,-7.97,123.77,12.0,5.2,93,29,114,247,64,77,6.9e+23,23.0,,,,,,,-1
01-11-12,37:02.0,1.28,122.12,45.0,5.2,105,22,99,275,68,86,,,,,,,,,-1
04-11-12,46:36.0,4.55,124.95,10.0,5.2,11,61,172,105,83,29,,,,,,,,,-1
16-03-16,04:54.7,4.67,125.01,15.1,5.2,10,71,-4,101,86,-161,7.07e+23,23.0,,,,,,,-1
