date,time,lat,lon,depth,mw,str1,dip1,rake1,str2,dip2,rake2,mo,fac,mpp,mpr,mrr,mrt,mtp,mtt,corepoint
1990-05-11,19:42:24.80,1.54,123.36,41.3,5.3,47.0,18.0,70.0,248.0,73.0,96.0,1.15e+24,23.0,,,,,,,c
1990-05-15,18:31:42.40,1.19,123.29,15.0,6.0,65.0,29.0,106.0,227.0,63.0,81.0,1.1e+25,24.0,,,,,,,c
1990-05-26,02:57:35.00,1.33,123.36,33.0,5.7,119.0,12.0,109.0,279.0,79.0,86.0,4.79e+24,24.0,,,,,,,c
1990-06-02,04:57:58.13,1.164,122.849,30.5,5.44,57.0,29.0,66.0,264.0,64.0,102.0,1.82,17.0,-0.47,0.19,1.6,-1.12,-0.37,-1.13,c
1990-06-09,21:38:21.96,1.336,123.501,28.0,5.52,224.0,76.0,82.0,73.0,16.0,118.0,2.36,17.0,-0.27,-1.54,1.13,-1.38,-0.5,-0.85,c
1990-06-26,02:36:22.64,1.132,123.019,30.4,5.24,72.0,29.0,49.0,297.0,68.0,110.0,9.1,16.0,-0.34,4.78,6.6,-4.67,-0.2,-6.26,c
1990-08-04,09:19:30.17,1.338,123.089,29.3,5.37,75.0,26.0,80.0,267.0,65.0,95.0,1.42,17.0,-0.44,0.06,1.3,-0.91,-0.11,-0.86,c
1990-08-10,15:44:31.18,0.39,126.107,36.9,6.21,1.0,53.0,53.0,231.0,50.0,128.0,2.5,18.0,-1.97,0.49,1.91,-0.8,-1.28,0.06,c
1990-08-25,15:47:59.23,0.579,126.042,40.0,6.34,355.0,49.0,63.0,212.0,47.0,117.0,3.96,18.0,-3.66,0.41,3.53,-1.25,-0.98,0.14,c
1990-09-09,22:29:29.40,1.252,123.024,34.9,5.68,275.0,71.0,92.0,89.0,19.0,85.0,4.09,17.0,-0.21,0.33,2.62,-3.22,0.07,-2.4,c
1990-12-17,01:43:45.40,1.37,123.14,18.1,5.5,94.0,21.0,84.0,281.0,69.0,92.0,2.04e+24,24.0,,,,,,,c
1991-01-03,20:38:34.76,2.134,126.834,35.0,5.8,295.0,88.0,85.0,187.0,6.0,162.0,6.22,17.0,-1.9,2.31,1.31,-5.74,-0.57,0.59,c
1991-01-24,20:01:24.40,2.56,126.58,39.9,5.3,32.0,36.0,92.0,210.0,54.0,89.0,1.26e+24,24.0,,,,,,,c
