"// "
"// Example data file for Orient 3 (Vollmer, 2015)"
// Latitude and longitude formated as spherical projection data
"// "
// Modern continental outlines from data file Modern.cno of EdGCM Global Climate
// Modeling software (2005) http://edgcm.columbia.edu/:
"// "
"// Chandler, M.A., S.J. Richards, and M.J. Shopsin, 2005: EdGCM: Enhancing climate "
"// science education through climate modeling research projects. In Proceedings of the "
"// 85th Annual Meeting of the American Meteorological Society, 14th Symposium on "
"// Education, Jan 8-14, 2005, San Diego, CA, pp. P1.5. http://edgcm.columbia.edu"
"// "
"// Note: This file contains NaN (Not a Number) values for latitude and longitude to "
"// indicate the end of a polygon. The original file used a single ""999"" value instead."
"// A type ""CO"" is assigned, and a comment column contains the polygon name."
"// "
// -------------------------------------------------------------------------------------
Longitude Sphere,Latitude Sphere,Type,Comment
-136.7,-75.0,CO,CO-01(AN)
-138.3,-75.3,CO,CO-01(AN)
-140.0,-75.4,CO,CO-01(AN)
-140.7,-75.8,CO,CO-01(AN)
-142.0,-75.6,CO,CO-01(AN)
-144.0,-75.8,CO,CO-01(AN)
-146.7,-75.9,CO,CO-01(AN)
-146.3,-76.3,CO,CO-01(AN)
-146.0,-76.8,CO,CO-01(AN)
-146.0,-77.3,CO,CO-01(AN)
-148.0,-77.7,CO,CO-01(AN)
-150.5,-77.8,CO,CO-01(AN)
-153.0,-77.6,CO,CO-01(AN)
-154.0,-77.2,CO,CO-01(AN)
-157.0,-77.0,CO,CO-01(AN)
-158.7,-77.2,CO,CO-01(AN)
-158.3,-77.5,CO,CO-01(AN)
-158.0,-77.8,CO,CO-01(AN)
-156.7,-78.1,CO,CO-01(AN)
-154.5,-78.2,CO,CO-01(AN)
-154.5,-78.5,CO,CO-01(AN)
-156.7,-78.4,CO,CO-01(AN)
-158.0,-78.5,CO,CO-01(AN)
-157.0,-78.8,CO,CO-01(AN)
-155.0,-79.3,CO,CO-01(AN)
-152.5,-79.7,CO,CO-01(AN)
-150.0,-80.0,CO,CO-01(AN)
-148.0,-80.3,CO,CO-01(AN)
-145.5,-80.7,CO,CO-01(AN)
-146.5,-80.9,CO,CO-01(AN)
-150.0,-81.0,CO,CO-01(AN)
-153.0,-81.2,CO,CO-01(AN)
-154.5,-81.5,CO,CO-01(AN)
-154.0,-82.0,CO,CO-01(AN)
-154.0,-82.5,CO,CO-01(AN)
-154.0,-83.0,CO,CO-01(AN)
-153.0,-83.5,CO,CO-01(AN)
-153.5,-84.0,CO,CO-01(AN)
-151.0,-84.5,CO,CO-01(AN)
-147.0,-84.8,CO,CO-01(AN)
-146.0,-85.3,CO,CO-01(AN)
-152.0,-85.6,CO,CO-01(AN)
-158.0,-85.4,CO,CO-01(AN)
-163.0,-85.4,CO,CO-01(AN)
-166.0,-84.9,CO,CO-01(AN)
-170.0,-84.7,CO,CO-01(AN)
-174.0,-84.5,CO,CO-01(AN)
-178.0,-84.3,CO,CO-01(AN)
180.0,-83.8,CO,CO-01(AN)
NaN,NaN,CO,End polygon
-76.2,-71.1,CO,CO-02
-76.5,-71.3,CO,CO-02
-76.0,-71.7,CO,CO-02
-75.0,-71.8,CO,CO-02
-74.3,-72.2,CO,CO-02
-73.3,-72.2,CO,CO-02
-73.0,-72.6,CO,CO-02
-71.5,-72.7,CO,CO-02
-70.0,-72.6,CO,CO-02
-68.8,-72.3,CO,CO-02
-68.5,-71.9,CO,CO-02
-68.3,-71.5,CO,CO-02
-68.5,-71.0,CO,CO-02
-68.8,-70.5,CO,CO-02
-69.3,-70.0,CO,CO-02
-69.7,-69.4,CO,CO-02
-70.3,-68.8,CO,CO-02
-71.2,-68.9,CO,CO-02
-71.7,-69.1,CO,CO-02
-71.5,-69.6,CO,CO-02
-71.0,-70.1,CO,CO-02
-70.7,-70.6,CO,CO-02
-71.0,-70.8,CO,CO-02
-71.8,-70.9,CO,CO-02
-73.0,-71.0,CO,CO-02
-74.7,-71.1,CO,CO-02
-76.2,-71.1,CO,CO-02
NaN,NaN,CO,End polygon
-80.1,0.0,CO,CO-03(NA-SA)
-80.5,-0.3,CO,CO-03(NA-SA)
-80.5,-0.8,CO,CO-03(NA-SA)
