"// "
"// Example data file for Orient 3 (Vollmer, 2015)"
// Latitude and longitude formated as spherical projection data
"// "
"// WorldEQ_1980-1990 - Earthquake epicenters 1980-1990, M greater than 4.5 "
"// "
//   and
"// "
// ModernCO - Modern continental outlines
"// "
// See those files for references.
"// "
// -------------------------------------------------------------------------------------
Longitude Sphere,Latitude Sphere,Type,Comment
169.5,-21.5,EQ,
-73.2,-41.6,EQ,
146.5,-6.2,EQ,
-178.2,-30.8,EQ,
140.0,41.7,EQ,
57.8,30.0,EQ,
154.0,-5.3,EQ,
169.6,-21.6,EQ,
154.2,-5.5,EQ,
167.1,-16.8,EQ,
-173.1,-17.6,EQ,
154.2,-5.9,EQ,
28.5,-2.7,EQ,
123.7,25.6,EQ,
167.4,-16.9,EQ,
154.2,-5.4,EQ,
154.1,-5.3,EQ,
-27.7,-55.9,EQ,
157.7,51.2,EQ,
154.3,-5.4,EQ,
-153.2,60.1,EQ,
95.3,11.1,EQ,
-173.6,-18.6,EQ,
119.9,14.9,EQ,
141.8,42.8,EQ,
179.9,-23.4,EQ,
127.1,-6.5,EQ,
123.1,25.1,EQ,
103.2,-4.7,EQ,
-138.8,-22.1,EQ,
49.3,38.1,EQ,
-61.5,16.8,EQ,
-76.4,3.9,EQ,
165.2,-11.0,EQ,
151.7,-6.6,EQ,
144.2,14.4,EQ,
77.5,40.1,EQ,
143.3,11.4,EQ,
151.7,-5.2,EQ,
143.8,42.5,EQ,
147.1,-5.6,EQ,
-69.1,-20.7,EQ,
167.3,-17.0,EQ,
171.9,-29.7,EQ,
139.4,-4.7,EQ,
145.9,17.3,EQ,
-72.7,-16.6,EQ,
130.6,29.5,EQ,
41.7,-42.8,EQ,
-174.4,-16.1,EQ,
17.3,44.8,EQ,
98.0,25.2,EQ,
127.0,2.4,EQ,
133.6,-0.8,EQ,
-156.8,56.4,EQ,
96.9,50.6,EQ,
96.6,25.5,EQ,
152.7,46.6,EQ,
139.2,-2.8,EQ,
-93.8,14.4,EQ,
-25.9,-60.0,EQ,
-179.1,-25.5,EQ,
-177.5,-30.1,EQ,
127.3,-4.0,EQ,
127.3,-4.1,EQ,
-89.9,65.8,EQ,
179.7,-33.5,EQ,
170.5,-23.0,EQ,
-81.0,-3.9,EQ,
67.2,-9.2,EQ,
